version,profile,records,run,workload,order,exit_status,validation,stdout,stderr,timing
original,normal,50000,1,random_disjoint_sparse_merge,1,0,ok,raw/50000-normal-r1-random_disjoint_sparse_merge-original.stdout,raw/50000-normal-r1-random_disjoint_sparse_merge-original.stderr,raw/50000-normal-r1-random_disjoint_sparse_merge-original.time
original,normal,50000,1,clustered_disjoint_sparse_merge,1,0,ok,raw/50000-normal-r1-clustered_disjoint_sparse_merge-original.stdout,raw/50000-normal-r1-clustered_disjoint_sparse_merge-original.stderr,raw/50000-normal-r1-clustered_disjoint_sparse_merge-original.time
original,normal,50000,1,random_conflict_resolved_merge,1,0,ok,raw/50000-normal-r1-random_conflict_resolved_merge-original.stdout,raw/50000-normal-r1-random_conflict_resolved_merge-original.stderr,raw/50000-normal-r1-random_conflict_resolved_merge-original.time
original,normal,50000,1,clustered_conflict_resolved_merge,1,0,ok,raw/50000-normal-r1-clustered_conflict_resolved_merge-original.stdout,raw/50000-normal-r1-clustered_conflict_resolved_merge-original.stderr,raw/50000-normal-r1-clustered_conflict_resolved_merge-original.time
current,normal,50000,1,sorted_stream_build,2,0,ok,raw/50000-normal-r1-sorted_stream_build-current.stdout,raw/50000-normal-r1-sorted_stream_build-current.stderr,raw/50000-normal-r1-sorted_stream_build-current.time
current,normal,50000,1,shuffled_batch_build,2,0,ok,raw/50000-normal-r1-shuffled_batch_build-current.stdout,raw/50000-normal-r1-shuffled_batch_build-current.stderr,raw/50000-normal-r1-shuffled_batch_build-current.time
current,normal,50000,1,random_reads_cold_manager,2,0,ok,raw/50000-normal-r1-random_reads_cold_manager-current.stdout,raw/50000-normal-r1-random_reads_cold_manager-current.stderr,raw/50000-normal-r1-random_reads_cold_manager-current.time
current,normal,50000,1,random_reads_warm_manager,2,0,ok,raw/50000-normal-r1-random_reads_warm_manager-current.stdout,raw/50000-normal-r1-random_reads_warm_manager-current.stderr,raw/50000-normal-r1-random_reads_warm_manager-current.time
current,normal,50000,1,clustered_reads_cold_manager,2,0,ok,raw/50000-normal-r1-clustered_reads_cold_manager-current.stdout,raw/50000-normal-r1-clustered_reads_cold_manager-current.stderr,raw/50000-normal-r1-clustered_reads_cold_manager-current.time
current,normal,50000,1,clustered_reads_warm_manager,2,0,ok,raw/50000-normal-r1-clustered_reads_warm_manager-current.stdout,raw/50000-normal-r1-clustered_reads_warm_manager-current.stderr,raw/50000-normal-r1-clustered_reads_warm_manager-current.time
current,normal,50000,1,right_edge_reads_cold_manager,2,0,ok,raw/50000-normal-r1-right_edge_reads_cold_manager-current.stdout,raw/50000-normal-r1-right_edge_reads_cold_manager-current.stderr,raw/50000-normal-r1-right_edge_reads_cold_manager-current.time
current,normal,50000,1,right_edge_reads_warm_manager,2,0,ok,raw/50000-normal-r1-right_edge_reads_warm_manager-current.stdout,raw/50000-normal-r1-right_edge_reads_warm_manager-current.stderr,raw/50000-normal-r1-right_edge_reads_warm_manager-current.time
current,normal,50000,1,append_batch_upserts,2,0,ok,raw/50000-normal-r1-append_batch_upserts-current.stdout,raw/50000-normal-r1-append_batch_upserts-current.stderr,raw/50000-normal-r1-append_batch_upserts-current.time
current,normal,50000,1,random_batch_updates,2,0,ok,raw/50000-normal-r1-random_batch_updates-current.stdout,raw/50000-normal-r1-random_batch_updates-current.stderr,raw/50000-normal-r1-random_batch_updates-current.time
current,normal,50000,1,clustered_batch_updates,2,0,ok,raw/50000-normal-r1-clustered_batch_updates-current.stdout,raw/50000-normal-r1-clustered_batch_updates-current.stderr,raw/50000-normal-r1-clustered_batch_updates-current.time
current,normal,50000,1,random_batch_deletes,2,0,ok,raw/50000-normal-r1-random_batch_deletes-current.stdout,raw/50000-normal-r1-random_batch_deletes-current.stderr,raw/50000-normal-r1-random_batch_deletes-current.time
current,normal,50000,1,clustered_batch_deletes,2,0,ok,raw/50000-normal-r1-clustered_batch_deletes-current.stdout,raw/50000-normal-r1-clustered_batch_deletes-current.stderr,raw/50000-normal-r1-clustered_batch_deletes-current.time
current,normal,50000,1,identical_diff,2,0,ok,raw/50000-normal-r1-identical_diff-current.stdout,raw/50000-normal-r1-identical_diff-current.stderr,raw/50000-normal-r1-identical_diff-current.time
current,normal,50000,1,append_sparse_diff,2,0,ok,raw/50000-normal-r1-append_sparse_diff-current.stdout,raw/50000-normal-r1-append_sparse_diff-current.stderr,raw/50000-normal-r1-append_sparse_diff-current.time
current,normal,50000,1,random_sparse_diff,2,0,ok,raw/50000-normal-r1-random_sparse_diff-current.stdout,raw/50000-normal-r1-random_sparse_diff-current.stderr,raw/50000-normal-r1-random_sparse_diff-current.time
current,normal,50000,1,clustered_sparse_diff,2,0,ok,raw/50000-normal-r1-clustered_sparse_diff-current.stdout,raw/50000-normal-r1-clustered_sparse_diff-current.stderr,raw/50000-normal-r1-clustered_sparse_diff-current.time
current,normal,50000,1,random_delete_diff,2,0,ok,raw/50000-normal-r1-random_delete_diff-current.stdout,raw/50000-normal-r1-random_delete_diff-current.stderr,raw/50000-normal-r1-random_delete_diff-current.time
current,normal,50000,1,clustered_delete_diff,2,0,ok,raw/50000-normal-r1-clustered_delete_diff-current.stdout,raw/50000-normal-r1-clustered_delete_diff-current.stderr,raw/50000-normal-r1-clustered_delete_diff-current.time
current,normal,50000,1,append_disjoint_sparse_merge,2,0,ok,raw/50000-normal-r1-append_disjoint_sparse_merge-current.stdout,raw/50000-normal-r1-append_disjoint_sparse_merge-current.stderr,raw/50000-normal-r1-append_disjoint_sparse_merge-current.time
current,normal,50000,1,random_disjoint_sparse_merge,2,0,ok,raw/50000-normal-r1-random_disjoint_sparse_merge-current.stdout,raw/50000-normal-r1-random_disjoint_sparse_merge-current.stderr,raw/50000-normal-r1-random_disjoint_sparse_merge-current.time
current,normal,50000,1,clustered_disjoint_sparse_merge,2,0,ok,raw/50000-normal-r1-clustered_disjoint_sparse_merge-current.stdout,raw/50000-normal-r1-clustered_disjoint_sparse_merge-current.stderr,raw/50000-normal-r1-clustered_disjoint_sparse_merge-current.time
current,normal,50000,1,random_conflict_resolved_merge,2,0,ok,raw/50000-normal-r1-random_conflict_resolved_merge-current.stdout,raw/50000-normal-r1-random_conflict_resolved_merge-current.stderr,raw/50000-normal-r1-random_conflict_resolved_merge-current.time
current,normal,50000,1,clustered_conflict_resolved_merge,2,0,ok,raw/50000-normal-r1-clustered_conflict_resolved_merge-current.stdout,raw/50000-normal-r1-clustered_conflict_resolved_merge-current.stderr,raw/50000-normal-r1-clustered_conflict_resolved_merge-current.time
original,full,100000,1,sorted_stream_build,1,0,ok,raw/100000-full-r1-sorted_stream_build-original.stdout,raw/100000-full-r1-sorted_stream_build-original.stderr,raw/100000-full-r1-sorted_stream_build-original.time
original,full,100000,1,shuffled_batch_build,1,0,ok,raw/100000-full-r1-shuffled_batch_build-original.stdout,raw/100000-full-r1-shuffled_batch_build-original.stderr,raw/100000-full-r1-shuffled_batch_build-original.time
original,full,100000,1,random_reads_cold_manager,1,0,ok,raw/100000-full-r1-random_reads_cold_manager-original.stdout,raw/100000-full-r1-random_reads_cold_manager-original.stderr,raw/100000-full-r1-random_reads_cold_manager-original.time
original,full,100000,1,random_reads_warm_manager,1,0,ok,raw/100000-full-r1-random_reads_warm_manager-original.stdout,raw/100000-full-r1-random_reads_warm_manager-original.stderr,raw/100000-full-r1-random_reads_warm_manager-original.time
original,full,100000,1,clustered_reads_cold_manager,1,0,ok,raw/100000-full-r1-clustered_reads_cold_manager-original.stdout,raw/100000-full-r1-clustered_reads_cold_manager-original.stderr,raw/100000-full-r1-clustered_reads_cold_manager-original.time
original,full,100000,1,clustered_reads_warm_manager,1,0,ok,raw/100000-full-r1-clustered_reads_warm_manager-original.stdout,raw/100000-full-r1-clustered_reads_warm_manager-original.stderr,raw/100000-full-r1-clustered_reads_warm_manager-original.time
original,full,100000,1,right_edge_reads_cold_manager,1,0,ok,raw/100000-full-r1-right_edge_reads_cold_manager-original.stdout,raw/100000-full-r1-right_edge_reads_cold_manager-original.stderr,raw/100000-full-r1-right_edge_reads_cold_manager-original.time
original,full,100000,1,right_edge_reads_warm_manager,1,0,ok,raw/100000-full-r1-right_edge_reads_warm_manager-original.stdout,raw/100000-full-r1-right_edge_reads_warm_manager-original.stderr,raw/100000-full-r1-right_edge_reads_warm_manager-original.time
original,full,100000,1,append_batch_upserts,1,0,ok,raw/100000-full-r1-append_batch_upserts-original.stdout,raw/100000-full-r1-append_batch_upserts-original.stderr,raw/100000-full-r1-append_batch_upserts-original.time
original,full,100000,1,random_batch_updates,1,0,ok,raw/100000-full-r1-random_batch_updates-original.stdout,raw/100000-full-r1-random_batch_updates-original.stderr,raw/100000-full-r1-random_batch_updates-original.time
original,full,100000,1,clustered_batch_updates,1,0,ok,raw/100000-full-r1-clustered_batch_updates-original.stdout,raw/100000-full-r1-clustered_batch_updates-original.stderr,raw/100000-full-r1-clustered_batch_updates-original.time
original,full,100000,1,random_batch_deletes,1,0,ok,raw/100000-full-r1-random_batch_deletes-original.stdout,raw/100000-full-r1-random_batch_deletes-original.stderr,raw/100000-full-r1-random_batch_deletes-original.time
original,full,100000,1,clustered_batch_deletes,1,0,ok,raw/100000-full-r1-clustered_batch_deletes-original.stdout,raw/100000-full-r1-clustered_batch_deletes-original.stderr,raw/100000-full-r1-clustered_batch_deletes-original.time
original,full,100000,1,identical_diff,1,0,ok,raw/100000-full-r1-identical_diff-original.stdout,raw/100000-full-r1-identical_diff-original.stderr,raw/100000-full-r1-identical_diff-original.time
original,full,100000,1,append_sparse_diff,1,0,ok,raw/100000-full-r1-append_sparse_diff-original.stdout,raw/100000-full-r1-append_sparse_diff-original.stderr,raw/100000-full-r1-append_sparse_diff-original.time
original,full,100000,1,random_sparse_diff,1,0,ok,raw/100000-full-r1-random_sparse_diff-original.stdout,raw/100000-full-r1-random_sparse_diff-original.stderr,raw/100000-full-r1-random_sparse_diff-original.time
original,full,100000,1,clustered_sparse_diff,1,0,ok,raw/100000-full-r1-clustered_sparse_diff-original.stdout,raw/100000-full-r1-clustered_sparse_diff-original.stderr,raw/100000-full-r1-clustered_sparse_diff-original.time
original,full,100000,1,random_delete_diff,1,0,ok,raw/100000-full-r1-random_delete_diff-original.stdout,raw/100000-full-r1-random_delete_diff-original.stderr,raw/100000-full-r1-random_delete_diff-original.time
original,full,100000,1,clustered_delete_diff,1,0,ok,raw/100000-full-r1-clustered_delete_diff-original.stdout,raw/100000-full-r1-clustered_delete_diff-original.stderr,raw/100000-full-r1-clustered_delete_diff-original.time
original,full,100000,1,append_disjoint_sparse_merge,1,0,ok,raw/100000-full-r1-append_disjoint_sparse_merge-original.stdout,raw/100000-full-r1-append_disjoint_sparse_merge-original.stderr,raw/100000-full-r1-append_disjoint_sparse_merge-original.time
original,full,100000,1,random_disjoint_sparse_merge,1,0,ok,raw/100000-full-r1-random_disjoint_sparse_merge-original.stdout,raw/100000-full-r1-random_disjoint_sparse_merge-original.stderr,raw/100000-full-r1-random_disjoint_sparse_merge-original.time
original,full,100000,1,clustered_disjoint_sparse_merge,1,0,ok,raw/100000-full-r1-clustered_disjoint_sparse_merge-original.stdout,raw/100000-full-r1-clustered_disjoint_sparse_merge-original.stderr,raw/100000-full-r1-clustered_disjoint_sparse_merge-original.time
original,full,100000,1,random_conflict_resolved_merge,1,0,ok,raw/100000-full-r1-random_conflict_resolved_merge-original.stdout,raw/100000-full-r1-random_conflict_resolved_merge-original.stderr,raw/100000-full-r1-random_conflict_resolved_merge-original.time
original,full,100000,1,clustered_conflict_resolved_merge,1,0,ok,raw/100000-full-r1-clustered_conflict_resolved_merge-original.stdout,raw/100000-full-r1-clustered_conflict_resolved_merge-original.stderr,raw/100000-full-r1-clustered_conflict_resolved_merge-original.time
current,full,100000,1,sorted_stream_build,2,0,ok,raw/100000-full-r1-sorted_stream_build-current.stdout,raw/100000-full-r1-sorted_stream_build-current.stderr,raw/100000-full-r1-sorted_stream_build-current.time
current,full,100000,1,shuffled_batch_build,2,0,ok,raw/100000-full-r1-shuffled_batch_build-current.stdout,raw/100000-full-r1-shuffled_batch_build-current.stderr,raw/100000-full-r1-shuffled_batch_build-current.time
current,full,100000,1,random_reads_cold_manager,2,0,ok,raw/100000-full-r1-random_reads_cold_manager-current.stdout,raw/100000-full-r1-random_reads_cold_manager-current.stderr,raw/100000-full-r1-random_reads_cold_manager-current.time
current,full,100000,1,random_reads_warm_manager,2,0,ok,raw/100000-full-r1-random_reads_warm_manager-current.stdout,raw/100000-full-r1-random_reads_warm_manager-current.stderr,raw/100000-full-r1-random_reads_warm_manager-current.time
current,full,100000,1,clustered_reads_cold_manager,2,0,ok,raw/100000-full-r1-clustered_reads_cold_manager-current.stdout,raw/100000-full-r1-clustered_reads_cold_manager-current.stderr,raw/100000-full-r1-clustered_reads_cold_manager-current.time
current,full,100000,1,clustered_reads_warm_manager,2,0,ok,raw/100000-full-r1-clustered_reads_warm_manager-current.stdout,raw/100000-full-r1-clustered_reads_warm_manager-current.stderr,raw/100000-full-r1-clustered_reads_warm_manager-current.time
current,full,100000,1,right_edge_reads_cold_manager,2,0,ok,raw/100000-full-r1-right_edge_reads_cold_manager-current.stdout,raw/100000-full-r1-right_edge_reads_cold_manager-current.stderr,raw/100000-full-r1-right_edge_reads_cold_manager-current.time
current,full,100000,1,right_edge_reads_warm_manager,2,0,ok,raw/100000-full-r1-right_edge_reads_warm_manager-current.stdout,raw/100000-full-r1-right_edge_reads_warm_manager-current.stderr,raw/100000-full-r1-right_edge_reads_warm_manager-current.time
current,full,100000,1,append_batch_upserts,2,0,ok,raw/100000-full-r1-append_batch_upserts-current.stdout,raw/100000-full-r1-append_batch_upserts-current.stderr,raw/100000-full-r1-append_batch_upserts-current.time
current,full,100000,1,random_batch_updates,2,0,ok,raw/100000-full-r1-random_batch_updates-current.stdout,raw/100000-full-r1-random_batch_updates-current.stderr,raw/100000-full-r1-random_batch_updates-current.time
current,full,100000,1,clustered_batch_updates,2,0,ok,raw/100000-full-r1-clustered_batch_updates-current.stdout,raw/100000-full-r1-clustered_batch_updates-current.stderr,raw/100000-full-r1-clustered_batch_updates-current.time
current,full,100000,1,random_batch_deletes,2,0,ok,raw/100000-full-r1-random_batch_deletes-current.stdout,raw/100000-full-r1-random_batch_deletes-current.stderr,raw/100000-full-r1-random_batch_deletes-current.time
current,full,100000,1,clustered_batch_deletes,2,0,ok,raw/100000-full-r1-clustered_batch_deletes-current.stdout,raw/100000-full-r1-clustered_batch_deletes-current.stderr,raw/100000-full-r1-clustered_batch_deletes-current.time
current,full,100000,1,identical_diff,2,0,ok,raw/100000-full-r1-identical_diff-current.stdout,raw/100000-full-r1-identical_diff-current.stderr,raw/100000-full-r1-identical_diff-current.time
current,full,100000,1,append_sparse_diff,2,0,ok,raw/100000-full-r1-append_sparse_diff-current.stdout,raw/100000-full-r1-append_sparse_diff-current.stderr,raw/100000-full-r1-append_sparse_diff-current.time
current,full,100000,1,random_sparse_diff,2,0,ok,raw/100000-full-r1-random_sparse_diff-current.stdout,raw/100000-full-r1-random_sparse_diff-current.stderr,raw/100000-full-r1-random_sparse_diff-current.time
current,full,100000,1,clustered_sparse_diff,2,0,ok,raw/100000-full-r1-clustered_sparse_diff-current.stdout,raw/100000-full-r1-clustered_sparse_diff-current.stderr,raw/100000-full-r1-clustered_sparse_diff-current.time
current,full,100000,1,random_delete_diff,2,0,ok,raw/100000-full-r1-random_delete_diff-current.stdout,raw/100000-full-r1-random_delete_diff-current.stderr,raw/100000-full-r1-random_delete_diff-current.time
current,full,100000,1,clustered_delete_diff,2,0,ok,raw/100000-full-r1-clustered_delete_diff-current.stdout,raw/100000-full-r1-clustered_delete_diff-current.stderr,raw/100000-full-r1-clustered_delete_diff-current.time
current,full,100000,1,append_disjoint_sparse_merge,2,0,ok,raw/100000-full-r1-append_disjoint_sparse_merge-current.stdout,raw/100000-full-r1-append_disjoint_sparse_merge-current.stderr,raw/100000-full-r1-append_disjoint_sparse_merge-current.time
current,full,100000,1,random_disjoint_sparse_merge,2,0,ok,raw/100000-full-r1-random_disjoint_sparse_merge-current.stdout,raw/100000-full-r1-random_disjoint_sparse_merge-current.stderr,raw/100000-full-r1-random_disjoint_sparse_merge-current.time
current,full,100000,1,clustered_disjoint_sparse_merge,2,0,ok,raw/100000-full-r1-clustered_disjoint_sparse_merge-current.stdout,raw/100000-full-r1-clustered_disjoint_sparse_merge-current.stderr,raw/100000-full-r1-clustered_disjoint_sparse_merge-current.time
current,full,100000,1,random_conflict_resolved_merge,2,0,ok,raw/100000-full-r1-random_conflict_resolved_merge-current.stdout,raw/100000-full-r1-random_conflict_resolved_merge-current.stderr,raw/100000-full-r1-random_conflict_resolved_merge-current.time
current,full,100000,1,clustered_conflict_resolved_merge,2,0,ok,raw/100000-full-r1-clustered_conflict_resolved_merge-current.stdout,raw/100000-full-r1-clustered_conflict_resolved_merge-current.stderr,raw/100000-full-r1-clustered_conflict_resolved_merge-current.time
original,normal,100000,1,sorted_stream_build,1,0,ok,raw/100000-normal-r1-sorted_stream_build-original.stdout,raw/100000-normal-r1-sorted_stream_build-original.stderr,raw/100000-normal-r1-sorted_stream_build-original.time
original,normal,100000,1,shuffled_batch_build,1,0,ok,raw/100000-normal-r1-shuffled_batch_build-original.stdout,raw/100000-normal-r1-shuffled_batch_build-original.stderr,raw/100000-normal-r1-shuffled_batch_build-original.time
original,normal,100000,1,random_reads_cold_manager,1,0,ok,raw/100000-normal-r1-random_reads_cold_manager-original.stdout,raw/100000-normal-r1-random_reads_cold_manager-original.stderr,raw/100000-normal-r1-random_reads_cold_manager-original.time
original,normal,100000,1,random_reads_warm_manager,1,0,ok,raw/100000-normal-r1-random_reads_warm_manager-original.stdout,raw/100000-normal-r1-random_reads_warm_manager-original.stderr,raw/100000-normal-r1-random_reads_warm_manager-original.time
original,normal,100000,1,clustered_reads_cold_manager,1,0,ok,raw/100000-normal-r1-clustered_reads_cold_manager-original.stdout,raw/100000-normal-r1-clustered_reads_cold_manager-original.stderr,raw/100000-normal-r1-clustered_reads_cold_manager-original.time
original,normal,100000,1,clustered_reads_warm_manager,1,0,ok,raw/100000-normal-r1-clustered_reads_warm_manager-original.stdout,raw/100000-normal-r1-clustered_reads_warm_manager-original.stderr,raw/100000-normal-r1-clustered_reads_warm_manager-original.time
original,normal,100000,1,right_edge_reads_cold_manager,1,0,ok,raw/100000-normal-r1-right_edge_reads_cold_manager-original.stdout,raw/100000-normal-r1-right_edge_reads_cold_manager-original.stderr,raw/100000-normal-r1-right_edge_reads_cold_manager-original.time
original,normal,100000,1,right_edge_reads_warm_manager,1,0,ok,raw/100000-normal-r1-right_edge_reads_warm_manager-original.stdout,raw/100000-normal-r1-right_edge_reads_warm_manager-original.stderr,raw/100000-normal-r1-right_edge_reads_warm_manager-original.time
original,normal,100000,1,append_batch_upserts,1,0,ok,raw/100000-normal-r1-append_batch_upserts-original.stdout,raw/100000-normal-r1-append_batch_upserts-original.stderr,raw/100000-normal-r1-append_batch_upserts-original.time
original,normal,100000,1,random_batch_updates,1,0,ok,raw/100000-normal-r1-random_batch_updates-original.stdout,raw/100000-normal-r1-random_batch_updates-original.stderr,raw/100000-normal-r1-random_batch_updates-original.time
original,normal,100000,1,clustered_batch_updates,1,0,ok,raw/100000-normal-r1-clustered_batch_updates-original.stdout,raw/100000-normal-r1-clustered_batch_updates-original.stderr,raw/100000-normal-r1-clustered_batch_updates-original.time
original,normal,100000,1,random_batch_deletes,1,0,ok,raw/100000-normal-r1-random_batch_deletes-original.stdout,raw/100000-normal-r1-random_batch_deletes-original.stderr,raw/100000-normal-r1-random_batch_deletes-original.time
original,normal,100000,1,clustered_batch_deletes,1,0,ok,raw/100000-normal-r1-clustered_batch_deletes-original.stdout,raw/100000-normal-r1-clustered_batch_deletes-original.stderr,raw/100000-normal-r1-clustered_batch_deletes-original.time
original,normal,100000,1,identical_diff,1,0,ok,raw/100000-normal-r1-identical_diff-original.stdout,raw/100000-normal-r1-identical_diff-original.stderr,raw/100000-normal-r1-identical_diff-original.time
original,normal,100000,1,append_sparse_diff,1,0,ok,raw/100000-normal-r1-append_sparse_diff-original.stdout,raw/100000-normal-r1-append_sparse_diff-original.stderr,raw/100000-normal-r1-append_sparse_diff-original.time
original,normal,100000,1,random_sparse_diff,1,0,ok,raw/100000-normal-r1-random_sparse_diff-original.stdout,raw/100000-normal-r1-random_sparse_diff-original.stderr,raw/100000-normal-r1-random_sparse_diff-original.time
original,normal,100000,1,clustered_sparse_diff,1,0,ok,raw/100000-normal-r1-clustered_sparse_diff-original.stdout,raw/100000-normal-r1-clustered_sparse_diff-original.stderr,raw/100000-normal-r1-clustered_sparse_diff-original.time
original,normal,100000,1,random_delete_diff,1,0,ok,raw/100000-normal-r1-random_delete_diff-original.stdout,raw/100000-normal-r1-random_delete_diff-original.stderr,raw/100000-normal-r1-random_delete_diff-original.time
original,normal,100000,1,clustered_delete_diff,1,0,ok,raw/100000-normal-r1-clustered_delete_diff-original.stdout,raw/100000-normal-r1-clustered_delete_diff-original.stderr,raw/100000-normal-r1-clustered_delete_diff-original.time
original,normal,100000,1,append_disjoint_sparse_merge,1,0,ok,raw/100000-normal-r1-append_disjoint_sparse_merge-original.stdout,raw/100000-normal-r1-append_disjoint_sparse_merge-original.stderr,raw/100000-normal-r1-append_disjoint_sparse_merge-original.time
original,normal,100000,1,random_disjoint_sparse_merge,1,0,ok,raw/100000-normal-r1-random_disjoint_sparse_merge-original.stdout,raw/100000-normal-r1-random_disjoint_sparse_merge-original.stderr,raw/100000-normal-r1-random_disjoint_sparse_merge-original.time
original,normal,100000,1,clustered_disjoint_sparse_merge,1,0,ok,raw/100000-normal-r1-clustered_disjoint_sparse_merge-original.stdout,raw/100000-normal-r1-clustered_disjoint_sparse_merge-original.stderr,raw/100000-normal-r1-clustered_disjoint_sparse_merge-original.time
original,normal,100000,1,random_conflict_resolved_merge,1,0,ok,raw/100000-normal-r1-random_conflict_resolved_merge-original.stdout,raw/100000-normal-r1-random_conflict_resolved_merge-original.stderr,raw/100000-normal-r1-random_conflict_resolved_merge-original.time
original,normal,100000,1,clustered_conflict_resolved_merge,1,0,ok,raw/100000-normal-r1-clustered_conflict_resolved_merge-original.stdout,raw/100000-normal-r1-clustered_conflict_resolved_merge-original.stderr,raw/100000-normal-r1-clustered_conflict_resolved_merge-original.time
current,normal,100000,1,sorted_stream_build,2,0,ok,raw/100000-normal-r1-sorted_stream_build-current.stdout,raw/100000-normal-r1-sorted_stream_build-current.stderr,raw/100000-normal-r1-sorted_stream_build-current.time
current,normal,100000,1,shuffled_batch_build,2,0,ok,raw/100000-normal-r1-shuffled_batch_build-current.stdout,raw/100000-normal-r1-shuffled_batch_build-current.stderr,raw/100000-normal-r1-shuffled_batch_build-current.time
current,normal,100000,1,random_reads_cold_manager,2,0,ok,raw/100000-normal-r1-random_reads_cold_manager-current.stdout,raw/100000-normal-r1-random_reads_cold_manager-current.stderr,raw/100000-normal-r1-random_reads_cold_manager-current.time
current,normal,100000,1,random_reads_warm_manager,2,0,ok,raw/100000-normal-r1-random_reads_warm_manager-current.stdout,raw/100000-normal-r1-random_reads_warm_manager-current.stderr,raw/100000-normal-r1-random_reads_warm_manager-current.time
current,normal,100000,1,clustered_reads_cold_manager,2,0,ok,raw/100000-normal-r1-clustered_reads_cold_manager-current.stdout,raw/100000-normal-r1-clustered_reads_cold_manager-current.stderr,raw/100000-normal-r1-clustered_reads_cold_manager-current.time
current,normal,100000,1,clustered_reads_warm_manager,2,0,ok,raw/100000-normal-r1-clustered_reads_warm_manager-current.stdout,raw/100000-normal-r1-clustered_reads_warm_manager-current.stderr,raw/100000-normal-r1-clustered_reads_warm_manager-current.time
current,normal,100000,1,right_edge_reads_cold_manager,2,0,ok,raw/100000-normal-r1-right_edge_reads_cold_manager-current.stdout,raw/100000-normal-r1-right_edge_reads_cold_manager-current.stderr,raw/100000-normal-r1-right_edge_reads_cold_manager-current.time
current,normal,100000,1,right_edge_reads_warm_manager,2,0,ok,raw/100000-normal-r1-right_edge_reads_warm_manager-current.stdout,raw/100000-normal-r1-right_edge_reads_warm_manager-current.stderr,raw/100000-normal-r1-right_edge_reads_warm_manager-current.time
current,normal,100000,1,append_batch_upserts,2,0,ok,raw/100000-normal-r1-append_batch_upserts-current.stdout,raw/100000-normal-r1-append_batch_upserts-current.stderr,raw/100000-normal-r1-append_batch_upserts-current.time
current,normal,100000,1,random_batch_updates,2,0,ok,raw/100000-normal-r1-random_batch_updates-current.stdout,raw/100000-normal-r1-random_batch_updates-current.stderr,raw/100000-normal-r1-random_batch_updates-current.time
current,normal,100000,1,clustered_batch_updates,2,0,ok,raw/100000-normal-r1-clustered_batch_updates-current.stdout,raw/100000-normal-r1-clustered_batch_updates-current.stderr,raw/100000-normal-r1-clustered_batch_updates-current.time
current,normal,100000,1,random_batch_deletes,2,0,ok,raw/100000-normal-r1-random_batch_deletes-current.stdout,raw/100000-normal-r1-random_batch_deletes-current.stderr,raw/100000-normal-r1-random_batch_deletes-current.time
current,normal,100000,1,clustered_batch_deletes,2,0,ok,raw/100000-normal-r1-clustered_batch_deletes-current.stdout,raw/100000-normal-r1-clustered_batch_deletes-current.stderr,raw/100000-normal-r1-clustered_batch_deletes-current.time
current,normal,100000,1,identical_diff,2,0,ok,raw/100000-normal-r1-identical_diff-current.stdout,raw/100000-normal-r1-identical_diff-current.stderr,raw/100000-normal-r1-identical_diff-current.time
current,normal,100000,1,append_sparse_diff,2,0,ok,raw/100000-normal-r1-append_sparse_diff-current.stdout,raw/100000-normal-r1-append_sparse_diff-current.stderr,raw/100000-normal-r1-append_sparse_diff-current.time
current,normal,100000,1,random_sparse_diff,2,0,ok,raw/100000-normal-r1-random_sparse_diff-current.stdout,raw/100000-normal-r1-random_sparse_diff-current.stderr,raw/100000-normal-r1-random_sparse_diff-current.time
current,normal,100000,1,clustered_sparse_diff,2,0,ok,raw/100000-normal-r1-clustered_sparse_diff-current.stdout,raw/100000-normal-r1-clustered_sparse_diff-current.stderr,raw/100000-normal-r1-clustered_sparse_diff-current.time
current,normal,100000,1,random_delete_diff,2,0,ok,raw/100000-normal-r1-random_delete_diff-current.stdout,raw/100000-normal-r1-random_delete_diff-current.stderr,raw/100000-normal-r1-random_delete_diff-current.time
current,normal,100000,1,clustered_delete_diff,2,0,ok,raw/100000-normal-r1-clustered_delete_diff-current.stdout,raw/100000-normal-r1-clustered_delete_diff-current.stderr,raw/100000-normal-r1-clustered_delete_diff-current.time
current,normal,100000,1,append_disjoint_sparse_merge,2,0,ok,raw/100000-normal-r1-append_disjoint_sparse_merge-current.stdout,raw/100000-normal-r1-append_disjoint_sparse_merge-current.stderr,raw/100000-normal-r1-append_disjoint_sparse_merge-current.time
current,normal,100000,1,random_disjoint_sparse_merge,2,0,ok,raw/100000-normal-r1-random_disjoint_sparse_merge-current.stdout,raw/100000-normal-r1-random_disjoint_sparse_merge-current.stderr,raw/100000-normal-r1-random_disjoint_sparse_merge-current.time
current,normal,100000,1,clustered_disjoint_sparse_merge,2,0,ok,raw/100000-normal-r1-clustered_disjoint_sparse_merge-current.stdout,raw/100000-normal-r1-clustered_disjoint_sparse_merge-current.stderr,raw/100000-normal-r1-clustered_disjoint_sparse_merge-current.time
current,normal,100000,1,random_conflict_resolved_merge,2,0,ok,raw/100000-normal-r1-random_conflict_resolved_merge-current.stdout,raw/100000-normal-r1-random_conflict_resolved_merge-current.stderr,raw/100000-normal-r1-random_conflict_resolved_merge-current.time
current,normal,100000,1,clustered_conflict_resolved_merge,2,0,ok,raw/100000-normal-r1-clustered_conflict_resolved_merge-current.stdout,raw/100000-normal-r1-clustered_conflict_resolved_merge-current.stderr,raw/100000-normal-r1-clustered_conflict_resolved_merge-current.time
